HOECHST0,HOECHST1,HOECHST2,HOECHST3,HOECHST4,HOECHST5,HOECHST6,HOECHST7,HOECHST8,HOECHST9,A488_0,A488_1,Ki67,CD45RB,CD4,CD163,CD11b,IBA1,CD19,LaminAC,A555_0,LAG3,Keratin,CD3,CD45,CD68,FOXP3,ASMA,GFAP,BANF1,A647_0,Arl13b,PD1,PDL1,CD8A,CD14,CD21,CD20,gTubulin,LaminB,AREA,CIRC,X,Y,frame,COLS,ROWS,Xt,Yt
14177.481,17319.763,10442.648,6729.076,2677.266,2231.762,30403.18,10496.151,7959.485,9987.912,426.415,1264.794,417.255,1430.455,3863.238,47797.058,6290.555,16897.634,416.683,1386.494,150.636,2011.082,127.774,232.093,971.624,22035.89,245.33,456.532,5778.627,301.07,72.678,2101.419,2210.486,485.527,4090.565,8810.972,3607.079,241.646,538.613,10789.391,81.648,0.907,241.925,215.175,1,1,1,241.925,215.175
19412.84,23524.041,14214.659,9145.121,3759.997,3026.868,39654.306,14937.013,12173.346,14610.214,343.003,1015.176,328.403,690.303,4342.096,32112.6,3206.588,8703.854,307.039,1805.528,124.251,1444.534,121.403,196.672,949.219,4812.982,211.114,167.934,3906.454,317.845,65.181,2418.3,1801.987,351.016,4965.328,18666.8,2888.8,278.23,628.994,12914.374,99.71,0.9,279.811,219.058,1,1,1,279.811,219.058
15880.216,19808.392,11923.668,7649.57,3211.664,2657.701,34734.248,13116.029,10527.635,13126.078,254.825,809.465,256.52,584.772,3288.873,18428.644,2691.925,7526.283,304.588,1012.881,103.484,1064.377,185.64,151.377,835.633,3371.98,148.164,454.727,10071.132,204.104,59.282,1810.843,1338.641,389.522,4450.442,15717.235,2903.656,185.389,271.057,11512.947,90.309,0.907,282.731,224.488,1,1,1,282.731,224.488
18853.514,22083.207,13140.874,8725.747,3413.381,2817.473,40223.311,12694.94,8966.571,10513.065,463.716,1198.01,380.412,890.594,3961.118,34335.661,3787.258,9674.648,348.834,1996.47,158.41,2272.864,255.308,228.431,587.587,40864.781,207.581,174.495,6312.614,305.775,77.426,2037.709,2572.011,254.483,3351.791,7754.634,3781.712,188.439,592.743,16688.494,128.757,0.873,219.269,225.793,1,1,1,219.269,225.793
8744.179,11603.155,6567.484,4060.497,1708.724,1322.861,18891.832,6063.7,5000.612,6449.506,486.349,1394.96,454.395,1024.154,5539.505,35701.166,4097.203,10379.452,481.552,6875.537,155.985,3302.128,2105.367,239.245,1701.388,4616.782,272.85,3271.814,10006.448,456.3,76.188,1797.982,2223.472,420.616,4777.132,30280.898,6379.799,188.795,775.227,8516.563,57.777,0.908,159.562,226.184,1,1,1,159.562,226.184
14948.686,18590.053,11156.809,7177.553,2933.155,2414.783,32366.68,11572.821,9315.691,11733.095,419.489,1025.732,327.591,696.154,2180.184,13533.667,2903.747,4645.905,412.434,658.678,144.736,1027.857,373.255,194.433,511.74,3061.158,184.778,232.887,20776.098,244.424,66.255,1435.895,1435.204,377.36,4820.437,10654.162,3387.878,228.26,474.049,9286.88,133.088,0.844,324.217,255.371,1,1,1,324.217,255.371
13283.399,16896.387,10170.17,6441.321,2692.358,2202.126,31464.807,11150.802,8939.512,11620.055,376.074,858.5,259.633,515.83,2751.597,22553.63,2131.618,6284.084,305.683,1888.382,136.35,1220.907,297.636,150.122,753.55,9619.586,139.272,209.151,14212.763,255.866,61.768,1322.658,1343.675,284.408,3714.83,16815.198,2054.718,140.462,287.115,8425.81,141.432,0.87,339.046,266.876,1,1,1,339.046,266.876
16879.763,19799.325,11765.057,7687.851,3153.416,2553.78,37757.767,12257.146,9931.287,10992.721,400.161,1233.204,419.782,918.45,3823.419,15561.305,2677.403,8180.694,425.457,14011.715,154.765,4387.819,175.623,266.401,709.835,450.115,301.657,3775.337,5569.974,490.686,63.867,3259.142,3179.667,445.257,969.871,27109.976,7982.937,128.861,724.258,12178.392,156.219,0.88,175.46,269.237,1,1,1,175.46,269.237
14291.74,18162.793,10898.525,7135.887,3045.528,2398.678,36879.01,11686.858,9690.119,10554.285,455.817,995.511,363.749,902.569,4723.036,20818.154,2945.993,7268.767,329.849,4364.866,167.076,1869.418,84.008,207.823,1034.745,2283.854,228.676,112.29,3739.75,678.597,65.611,2737.392,2319.606,354.365,2046.805,12387.412,3134.934,180.82,475.42,7047.709,124.849,0.853,240.978,271.63,1,1,1,240.978,271.63
12758.879,16252.942,9650.795,6393.991,2613.881,2177.634,31981.51,10543.523,8373.973,10425.083,267.513,915.719,291.517,510.805,3164.91,24581.599,1963.109,5477.551,370.53,2104.93,105.291,1840.317,259.373,182.567,656.509,8906.584,178.885,124.501,16551.831,276.305,64.538,1497.922,1705.975,413.714,7426.059,9207.215,3423.659,313.967,460.316,6787.892,135.2,0.844,351.893,280.779,1,1,1,351.893,280.779
15988.812,18683.954,11309.149,7421.465,3074.533,2434.34,34621.397,11498.936,9782.124,11566.347,453.112,1187.202,398.612,818.353,4091.445,41284.161,2680.377,9183.999,400.279,1034.472,152.875,1993.798,267.831,204.993,1061.217,3234.44,168.383,82.997,9950.104,293.894,75.673,2169.862,1910.719,311.574,4988.006,19885.911,2854.741,259.596,518.31,9636.243,157.276,0.856,158.469,281.183,1,1,1,158.469,281.183
14335.97,17963.556,10590.884,7041.618,2849.044,2369.886,33447.195,11307.854,9032.123,11041.692,323.35,808.712,297.618,833.011,4317.765,41803.737,3949.11,9530.993,322.923,646.764,112.428,2137.791,166.42,208.293,1263.503,6545.534,176.654,981.377,12648.482,345.538,57.826,1288.67,1748.259,256.693,3015.114,29611.946,2103.086,184.983,552.466,11770.631,111.54,0.888,327.65,282.421,1,1,1,327.65,282.421
17446.365,20991.298,12533.99,8413.682,3393.15,2719.192,36132.136,13462.324,11181.41,13768.698,419.935,1268.534,471.264,807.959,4636.653,36958.42,5092.028,10651.391,394.597,3214.677,141.241,2595.969,297.49,218.137,1086.658,9427.766,255.782,142.039,8898.283,363.283,63.976,8757.625,2472.874,370.124,2322.808,36798.282,3685.281,338.58,760.641,13564.263,161.395,0.852,196.789,292.999,1,1,1,196.789,292.999
8305.183,11026.05,6537.908,4285.44,1744.844,1406.101,22402.899,7126.229,6086.294,7825.835,239.672,796.343,282.905,862.116,3671.49,32232.732,4875.198,8792.255,250.793,2335.404,102.466,1994.717,151.457,160.418,661.624,3549.875,179.149,210.73,10663.717,275.283,54.554,1571.242,1209.776,369.077,8952.224,12321.389,4893.11,243.972,434.787,9656.47,57.566,0.9,340.627,296.82,1,1,1,340.627,296.82
